target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
20,7d6a173d3edcd1b8579b997d404ee831c37d2bb475d057555b780c9fb4d1782c,RAW,6000006::S01::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
21,699c1029d1cc20c03ec7a40483afaed645fbc755eefeccc13b10e8020a058186,RAW,6000006::S01::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
22,9d2db523f57241d947785fff6f648423483a7b96dbdafe6c3243c0faa620b7c6,RAW,6000006::S02::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
23,c989ba4a9b2b06424fbebb7e1c29be6896f275e1b0956e284eb4e4b1f3f1f660,RAW,6000006::S03::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
24,28f15c78c8d24210f1ca37e7a4455a73c27025b8b956ea527a8686e35a76a2e0,RAW,6000006::S03::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
25,47865193a7839f424c96401da98728a0143d962c70f4f0aca049d2a36cbf60b0,RAW,6000006::S04::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
26,cfbbf7708245556bc2754bcd8937ec174001f047a937a0b256bf145a31cf266b,RAW,6000006::S04::A006,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
27,d08690da2f48317f3d18bac772f637c2a83c283cef73733a37bc784738ab29a1,RAW,6000006::S05::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,47,,NO,NO
28,7446b8f05506338bd96271ff6fc543356a70d73b6081bea577d2fa7e06df5bc6,RAW,6000006::S05::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
29,5e02af59b21accfe90ecd45cef39cf3966adcffb4193086d1037725e2d1d73d4,RAW,6000006::S07::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
